# Fix print output for fix myRG2file
0 3.38174670478818
1000 13.5410807542438
2000 13.716326643998
3000 14.2944957440591
4000 14.1537623040321
5000 14.4131661715002
5000 14.4131661715002
6000 14.2672701672353
7000 14.7291351874661
8000 14.6124191411083
9000 15.0317142280401
10000 15.0561640385237
11000 15.5502737317291
12000 14.925234911881
13000 14.7131593484591
14000 15.0104097593301
15000 15.5853560975315
16000 16.1048755547339
17000 16.3852717722487
18000 16.6047190746901
19000 16.7273457742982
20000 17.0964085091201
21000 17.4969083587774
22000 17.8213061165671
23000 17.9377995769405
24000 17.8751094822708
25000 18.2827639443503
26000 18.4156022785199
27000 18.6511739586552
28000 18.8788766044366
29000 18.813436707503
30000 18.5938326916798
31000 18.6809580807889
32000 18.4763640892884
33000 18.3045523044784
34000 18.4370816888678
35000 18.7133542219746
36000 18.8586271031973
37000 19.2437215193945
38000 19.2384123703315
39000 19.1836096652945
40000 19.7893498405351
41000 19.7235361943905
42000 20.0460948823381
43000 19.9940556270714
44000 20.3692554537019
45000 20.6444830921408
46000 20.5705149000734
47000 20.6936375404507
48000 20.9720083682369
49000 20.9987119877517
50000 21.6469582727792
51000 21.1354895860372
52000 21.1413221238713
53000 21.1134857492138
54000 21.3294728901587
55000 21.1575996710671
